QuoteNumber,QuoteConversion_Flag
3,1
5,1
7,1
9,0
10,1
11,1
15,1
16,0
17,0
21,0
23,1
24,1
27,1
31,1
33,1
34,1
36,1
39,0
42,1
43,1
46,1
48,1
49,1
52,1
54,1
55,1
56,1
58,0
60,1
61,1
63,1
67,1
68,0
69,1
75,1
81,1
82,1
98,1
100,1
107,1
108,1
110,1
113,1
115,1
116,1
119,0
120,1
122,1
125,1
130,0
132,0
135,1
137,1
138,1
144,1
145,1
146,1
150,1
155,1
158,1
159,1
160,1
162,1
163,1
164,1
165,1
168,1
172,1
173,1
174,1
175,1
176,1
178,0
181,0
183,0
190,1
198,1
200,0
201,1
204,0
205,1
207,1
210,1
211,1
213,0
215,1
218,1
222,0
223,1
227,1
228,1
231,0
238,1
241,1
245,1
253,1
257,1
263,1
264,1
265,0
274,1
275,1
276,1
279,1
280,1
282,1
283,1
285,0
289,1
290,0
292,1
294,1
301,1
304,1
307,0
309,1
310,1
311,1
312,1
314,0
316,1
318,1
321,1
326,0
330,1
331,0
332,1
333,1
337,1
338,1
339,1
340,1
344,1
346,1
348,1
349,1
350,1
351,1
352,1
355,0
358,1
361,1
363,0
364,0
365,1
366,1
367,1
368,1
371,1
374,1
378,1
380,0
382,1
385,0
390,1
393,1
401,1
402,1
403,0
407,1
408,1
409,1
410,0
412,0
416,1
424,1
425,0
427,1
430,1
438,1
439,1
441,1
447,1
449,1
452,1
453,1
457,1
464,1
465,1
467,1
468,0
469,1
470,1
473,1
474,1
475,1
476,1
479,1
480,1
481,1
484,1
487,1
494,1
495,1
496,1
498,1
500,1
504,0
505,1
512,1
513,0
516,1
519,1
525,1
527,1
530,1
532,1
536,1
539,1
541,1
542,1
543,1
544,1
547,1
551,1
552,1
555,1
557,0
563,1
568,1
569,0
571,0
574,1
575,1
580,1
581,1
595,1
598,0
599,1
600,1
602,1
603,1
609,0
611,1
614,1
615,0
620,1
624,1
625,1
628,1
633,1
640,1
642,1
646,1
648,0
652,0
656,0
657,1
658,1
659,1
663,1
664,1
668,1
669,1
671,0
673,1
675,1
677,1
684,1
686,0
687,1
691,1
693,1
694,1
695,1
696,1
699,1
701,1
702,1
703,1
705,0
706,1
710,1
711,1
713,1
717,1
718,1
720,0
721,1
725,1
726,1
729,1
